Year,Units,degree of urbanisation,federal state,GeoCode,Value
2007,m² per inhabitant and year,,,,-2.6
2008,m² per inhabitant and year,,,,-1.9
2009,m² per inhabitant and year,,,,-2.2
2010,m² per inhabitant and year,,,,-2.7
2011,m² per inhabitant and year,,,,-2.5
2012,m² per inhabitant and year,,,,-2.5
2013,m² per inhabitant and year,,,,-2.0
2014,m² per inhabitant and year,,,,-1.3
2015,m² per inhabitant and year,,,,-1.3
2016,m² per inhabitant and year,,,,-3.4
2017,m² per inhabitant and year,,,,-3.2
2018,m² per inhabitant and year,,,,-3.1
2019,m² per inhabitant and year,,,,-3.1
2020,m² per inhabitant and year,,,,-0.6
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-0.6
2010,m² per inhabitant and year,,,,-0.6
2011,m² per inhabitant and year,,,,-0.5
2012,m² per inhabitant and year,,,,-0.5
2013,m² per inhabitant and year,,,,-0.4
2014,m² per inhabitant and year,,,,-0.3
2015,m² per inhabitant and year,,,,-0.2
2016,m² per inhabitant and year,,,,-0.4
2017,m² per inhabitant and year,,,,-0.4
2018,m² per inhabitant and year,,,,-0.4
2019,m² per inhabitant and year,,,,-0.4
2020,m² per inhabitant and year,,,,-0.1
2004,m² per inhabitant and year,,,,
2005,m² per inhabitant and year,,,,
2006,m² per inhabitant and year,,,,
2007,m² per inhabitant and year,,,,
2008,m² per inhabitant and year,,,,
2009,m² per inhabitant and year,,,,-3.9
2010,m² per inhabitant and year,,,,-4.5
2011,m² per inhabitant and year,,,,-3.8
2012,m² per inhabitant and year,,,,-3.3
2013,m² per inhabitant and year,,,,-2.7
2014,m² per inhabitant and year,,,,-2.0
2015,m² per inhabitant and year,,,,-1.5
2016,m² per inhabitant and year,,,,-5.0
2017,m² per inhabitant and year,,,,-4.8
2018,m² per inhabitant and year,,,,-4.4
2019,m² per inhabitant and year,,,,-4.6
2020,m² per inhabitant and year,,,,-0.8
