Year,Units,federal state,GeoCode,county,Value
2006,1.000 eur,,,,35.399
2007,1.000 eur,,,,38.105
2008,1.000 eur,,,,38.711
2009,1.000 eur,,,,32.965
2010,1.000 eur,,,,38.789
2011,1.000 eur,,,,42.974
2012,1.000 eur,,,,42.666
2013,1.000 eur,,,,43.892
2014,1.000 eur,,,,44.784
2015,1.000 eur,,,,45.148
2016,1.000 eur,,,,49.676
2017,1.000 eur,,,,51.643
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,27.242
2001,1.000 eur,,,,28.899
2002,1.000 eur,,,,30.862
2003,1.000 eur,,,,30.903
2004,1.000 eur,,,,30.593
2005,1.000 eur,,,,30.116
2006,1.000 eur,,,,30.663
2007,1.000 eur,,,,31.756
2008,1.000 eur,,,,33.371
2009,1.000 eur,,,,31.483
2010,1.000 eur,,,,34.198
2011,1.000 eur,,,,35.713
2012,1.000 eur,,,,36.034
2013,1.000 eur,,,,37.099
2014,1.000 eur,,,,37.894
2015,1.000 eur,,,,39.826
2016,1.000 eur,,,,41.501
2017,1.000 eur,,,,43.427
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,23.461
2001,1.000 eur,,,,23.234
2002,1.000 eur,,,,22.901
2003,1.000 eur,,,,23.104
2004,1.000 eur,,,,23.816
2005,1.000 eur,,,,24.814
2006,1.000 eur,,,,26.562
2007,1.000 eur,,,,27.901
2008,1.000 eur,,,,28.932
2009,1.000 eur,,,,26.842
2010,1.000 eur,,,,28.001
2011,1.000 eur,,,,30.296
2012,1.000 eur,,,,31.124
2013,1.000 eur,,,,31.752
2014,1.000 eur,,,,33.483
2015,1.000 eur,,,,34.731
2016,1.000 eur,,,,35.043
2017,1.000 eur,,,,36.437
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,51.848
2001,1.000 eur,,,,57.571
2002,1.000 eur,,,,57.712
2003,1.000 eur,,,,60.95
2004,1.000 eur,,,,61.157
2005,1.000 eur,,,,65.214
2006,1.000 eur,,,,74.646
2007,1.000 eur,,,,75.623
2008,1.000 eur,,,,67.064
2009,1.000 eur,,,,67.835
2010,1.000 eur,,,,81.164
2011,1.000 eur,,,,95.868
2012,1.000 eur,,,,108.308
2013,1.000 eur,,,,125.722
2014,1.000 eur,,,,124.078
2015,1.000 eur,,,,132.425
2016,1.000 eur,,,,129.3
2017,1.000 eur,,,,127.869
2018,1.000 eur,,,,
2019,1.000 eur,,,,
2020,1.000 eur,,,,
2021,1.000 eur,,,,
1991,1.000 eur,,,,
1992,1.000 eur,,,,
1993,1.000 eur,,,,
1994,1.000 eur,,,,
1995,1.000 eur,,,,
1996,1.000 eur,,,,
1997,1.000 eur,,,,
1998,1.000 eur,,,,
1999,1.000 eur,,,,
2000,1.000 eur,,,,58.937
2001,1.000 eur,,,,60.213
2002,1.000 eur,,,,60.721
2003,1.000 eur,,,,58.88
2004,1.000 eur,,,,60.773
2005,1.000 eur,,,,60.795
2006,1.000 eur,,,,62.206
2007,1.000 eur,,,,64.721
2008,1.000 eur,,,,62.053
2009,1.000 eur,,,,60.099
2010,1.000 eur,,,,61.583
2011,1.000 eur,,,,64.376
2012,1.000 eur,,,,66.343
2013,1.000 eur,,,,68.434
